timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678801547493,1497,Yame-/shop/nguyen-to-chom-sao?s=2,200,OK,Thread Group-Yame 1-50,text,true,,93176,136,54,54,https://yame.vn/shop/nguyen-to-chom-sao?s=2,640,0,0
1678801546383,2629,Yame-/shop/ao-khoac-on-gian-2?s=2,200,OK,Thread Group-Yame 1-52,text,true,,94563,136,54,54,https://yame.vn/shop/ao-khoac-on-gian-2?s=2,931,0,0
1678801547909,1112,Yame,200,OK,Thread Group-Yame 1-59,text,true,,103337,228,54,54,https://yame.vn/home/v2022,381,0,0
1678801547909,384,Yame-0,302,Found,Thread Group-Yame 1-59,text,true,,1388,109,54,54,https://yame.vn/,381,0,0
1678801548293,728,Yame-1,200,OK,Thread Group-Yame 1-59,text,true,,101949,119,54,54,https://yame.vn/home/v2022,542,0,0
1678801548465,583,Yame-/shop/bltx?s=2,200,OK,Thread Group-Yame 1-46,text,true,,88400,122,54,54,https://yame.vn/shop/bltx?s=2,464,0,0
1678801548589,488,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-37,text,true,,91410,125,54,54,https://yame.vn/bo-suu-tap/bbuff,401,0,0
1678801547433,1653,Yame-/shop/ao-so-mi-co-danton?s=2,200,OK,Thread Group-Yame 1-11,text,true,,76941,136,53,53,https://yame.vn/shop/ao-so-mi-co-danton?s=2,1218,0,810
1678801548507,584,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-57,text,true,,90017,134,53,53,https://yame.vn/shop/ao-thun-toi-gian?s=2,439,0,0
1678801548258,876,Yame-/shop/phu-kien-nam?s=2,200,OK,Thread Group-Yame 1-41,text,true,,89621,130,53,53,https://yame.vn/shop/phu-kien-nam?s=2,505,0,0
1678801548564,587,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-84,text,true,,91348,125,53,53,https://yame.vn/bo-suu-tap/bbuff,426,0,0
1678801548035,1132,Yame,200,OK,Thread Group-Yame 1-77,text,true,,103568,228,52,52,https://yame.vn/home/v2022,378,0,0
1678801548035,378,Yame-0,302,Found,Thread Group-Yame 1-77,text,true,,1384,109,52,52,https://yame.vn/,378,0,0
1678801548413,754,Yame-1,200,OK,Thread Group-Yame 1-77,text,true,,102184,119,52,52,https://yame.vn/home/v2022,537,0,0
